year,team,tg,g,pa,hr,r,rbi,sb,bb%,k%,iso,babip,avg,obp,slg,woba,wrc+,bsr,off,def,war,era,whip,defeff,rtot,defrunssaved,made_playoffs
2014,CHICAGO WHITE SOX,162,2285,6077,155,660,625,85,6.90%,22.40%,0.146,0.306,0.253,0.31,0.398,0.312,99,-13.1,-23.5,-40.5,14.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,CHICAGO WHITE SOX,162,2279,6077,148,598,574,105,6.80%,19.90%,0.129,0.291,0.249,0.302,0.378,0.299,85,-12.7,-117.5,-23.7,5.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,CHICAGO WHITE SOX,162,2277,6111,211,748,726,109,7.50%,19.70%,0.167,0.289,0.255,0.318,0.422,0.322,98,-7.0,-18.2,11.2,20.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,CHICAGO WHITE SOX,162,2206,6159,154,654,625,81,7.70%,16.10%,0.136,0.28,0.252,0.319,0.388,0.312,90,-9.9,-80.0,-12.3,11.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,CHICAGO WHITE SOX,162,2212,6118,177,752,710,160,7.60%,15.10%,0.152,0.292,0.268,0.332,0.42,0.332,100,-8.1,-7.7,-54.6,15.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,CHICAGO WHITE SOX,162,2241,6132,184,724,695,113,8.70%,16.70%,0.153,0.285,0.258,0.329,0.411,0.326,91,-13.0,-84.0,-43.0,8.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,CHICAGO WHITE SOX,163,2298,6231,235,811,785,67,8.70%,16.30%,0.185,0.281,0.263,0.332,0.448,0.339,101,-27.4,-17.7,-41.8,15.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2007,CHICAGO WHITE SOX,162,2257,6103,190,693,667,78,8.70%,18.80%,0.158,0.278,0.246,0.318,0.404,0.316,86,-15.7,-125.7,-55.7,2.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,CHICAGO WHITE SOX,162,2286,6318,236,868,839,93,7.90%,16.70%,0.184,0.305,0.28,0.342,0.464,0.346,103,-8.4,14.4,-34.1,19.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,CHICAGO WHITE SOX,162,2208,6146,200,741,713,137,7.10%,16.30%,0.163,0.286,0.262,0.322,0.425,0.324,95,-1.9,-42.1,13.8,18.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2004,CHICAGO WHITE SOX,162,2245,6197,242,865,823,78,8.10%,16.60%,0.189,0.288,0.268,0.333,0.457,0.34,101,-1.6,7.3,19.4,23.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,CHICAGO WHITE SOX,162,2277,6148,220,791,766,77,8.40%,14.90%,0.182,0.279,0.263,0.331,0.446,0.336,101,-5.1,3.1,12.9,22.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,CHICAGO WHITE SOX,162,2208,6208,217,856,819,75,8.90%,15.30%,0.181,0.287,0.268,0.338,0.449,0.342,105,-1.2,40.1,-28.9,22.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,CHICAGO WHITE SOX,162,1906,6151,214,798,770,123,8.50%,16.20%,0.183,0.29,0.268,0.334,0.451,0.337,104,-1.3,28.4,-7.1,23.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,CHICAGO WHITE SOX,162,1791,6410,216,978,926,119,9.20%,15.00%,0.184,0.309,0.286,0.356,0.47,0.357,106,5.3,58.5,-9.6,25.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2024,NEW YORK YANKEES,162,2304,6245,237,815,782,88,10.80%,21.20%,0.181,0.283,0.248,0.333,0.429,0.331,117,-16.9,102.0,15.8,33.7,3.97,1.25,0.71,16.0,-7.0,1
2023,NEW YORK YANKEES,162,2321,5973,219,673,650,100,9.30%,23.90%,0.171,0.266,0.227,0.304,0.397,0.304,92,-11.5,-69.6,-1.3,13.4,3.94,1.24,0.71,18.0,31.0,0
2022,NEW YORK YANKEES,162,2342,6172,254,807,764,102,10.00%,22.50%,0.185,0.276,0.241,0.325,0.426,0.327,114,-6.2,90.8,40.2,34.3,3.3,1.12,0.723,50.0,21.0,1
2021,NEW YORK YANKEES,162,2354,6060,222,711,666,63,10.20%,24.50%,0.169,0.285,0.237,0.322,0.407,0.317,103,-3.8,16.3,-41.6,18.3,3.74,1.22,0.716,9.0,9.0,1
2020,NEW YORK YANKEES,60,878,2210,94,315,301,27,11.40%,21.70%,0.2,0.28,0.247,0.342,0.447,0.341,117,-0.3,45.6,-13.1,9.1,4.35,1.27,0.703,-3.0,-8.0,1
2019,NEW YORK YANKEES,162,2312,6245,306,943,904,55,9.10%,23.00%,0.222,0.306,0.267,0.339,0.49,0.346,117,-2.1,131.2,-40.1,30.8,4.31,1.3,0.702,-20.0,-22.0,1
2018,NEW YORK YANKEES,162,2269,6271,267,851,821,63,10.00%,22.70%,0.202,0.285,0.249,0.329,0.451,0.335,112,2.0,90.2,-25.6,28.7,3.78,1.24,0.713,30.0,56.0,1
2017,NEW YORK YANKEES,162,2294,6354,241,858,821,90,9.70%,21.80%,0.185,0.304,0.262,0.339,0.447,0.336,109,7.6,78.9,5.9,29.3,3.72,1.23,0.711,52.0,29.0,1
2016,NEW YORK YANKEES,162,2308,6058,183,680,647,72,7.80%,19.60%,0.153,0.289,0.252,0.314,0.405,0.311,92,1.4,-58.9,0.8,15.0,4.16,1.27,0.703,-12.0,-9.0,0
2015,NEW YORK YANKEES,162,2401,6268,212,764,737,63,8.80%,19.60%,0.17,0.283,0.251,0.323,0.421,0.323,103,3.0,25.3,-35.3,20.7,4.05,1.3,0.704,6.0,-6.0,1
2014,NEW YORK YANKEES,162,2288,6082,147,633,591,112,7.40%,18.60%,0.135,0.282,0.245,0.307,0.38,0.305,94,3.2,-38.5,7.6,17.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,NEW YORK YANKEES,162,2253,6044,144,650,614,115,7.70%,20.10%,0.133,0.285,0.242,0.307,0.376,0.301,86,4.4,-89.2,26.1,14.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,NEW YORK YANKEES,162,2367,6231,245,804,774,93,9.10%,18.90%,0.188,0.293,0.265,0.337,0.453,0.342,113,2.3,97.2,13.7,33.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2011,NEW YORK YANKEES,162,2301,6306,222,867,836,147,9.90%,18.00%,0.181,0.292,0.263,0.343,0.444,0.345,113,6.6,101.6,40.2,36.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2010,NEW YORK YANKEES,162,2313,6379,201,859,823,103,10.40%,17.80%,0.169,0.3,0.267,0.35,0.436,0.346,112,12.1,101.5,-19.8,31.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2009,NEW YORK YANKEES,162,2369,6449,244,915,881,111,10.30%,15.70%,0.194,0.306,0.283,0.362,0.478,0.365,117,0.2,137.5,-21.8,34.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2008,NEW YORK YANKEES,162,2330,6257,180,789,758,118,8.60%,16.20%,0.156,0.302,0.271,0.342,0.427,0.338,104,-6.7,24.3,-27.8,21.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,NEW YORK YANKEES,162,2366,6528,201,968,929,123,9.80%,15.20%,0.174,0.318,0.29,0.366,0.463,0.361,119,11.9,168.4,-47.2,33.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2006,NEW YORK YANKEES,162,2430,6455,210,930,902,139,10.10%,16.30%,0.177,0.315,0.285,0.363,0.461,0.356,113,7.4,118.9,-91.9,24.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2005,NEW YORK YANKEES,162,2319,6406,229,886,847,84,9.90%,15.40%,0.174,0.297,0.276,0.355,0.45,0.35,116,-3.4,118.5,-160.9,17.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2004,NEW YORK YANKEES,162,2281,6364,242,897,863,84,10.50%,15.40%,0.189,0.285,0.268,0.353,0.458,0.35,112,-7.1,94.1,-88.1,21.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2003,NEW YORK YANKEES,163,2180,6431,230,877,845,98,10.60%,16.20%,0.182,0.295,0.271,0.356,0.453,0.351,115,-0.3,119.4,-72.0,26.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2002,NEW YORK YANKEES,161,2135,6377,223,897,857,100,10.00%,18.40%,0.18,0.31,0.275,0.354,0.455,0.352,116,-1.0,122.9,-60.4,27.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2001,NEW YORK YANKEES,161,1867,6233,203,804,774,161,8.30%,16.60%,0.168,0.293,0.267,0.334,0.435,0.332,103,9.3,35.7,-73.8,17.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2000,NEW YORK YANKEES,161,2061,6311,205,871,833,99,10.00%,16.00%,0.173,0.304,0.277,0.354,0.45,0.35,105,-1.5,37.1,-39.5,20.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,MINNESOTA TWINS,162,2451,6123,183,742,702,65,7.70%,21.30%,0.165,0.289,0.246,0.315,0.411,0.316,107,-11.1,35.5,-17.0,23.0,3.89,1.18,0.715,-7.0,-20.0,0
2023,MINNESOTA TWINS,162,2427,6219,233,778,745,86,9.60%,26.60%,0.184,0.304,0.243,0.326,0.428,0.327,108,-5.2,53.2,-24.1,24.2,3.87,1.2,0.712,19.0,-3.0,1
2022,MINNESOTA TWINS,162,2422,6113,178,696,668,38,8.50%,22.10%,0.153,0.295,0.248,0.317,0.401,0.315,106,-12.8,26.2,-22.5,20.7,3.98,1.25,0.704,-19.0,-20.0,0
2021,MINNESOTA TWINS,162,2356,6078,228,729,690,54,8.60%,23.10%,0.182,0.282,0.241,0.314,0.423,0.318,102,-5.7,11.2,-0.2,22.0,4.83,1.32,0.693,-5.0,-7.0,0
2020,MINNESOTA TWINS,60,882,2168,91,269,258,14,8.60%,24.40%,0.186,0.283,0.242,0.315,0.427,0.319,103,-7.8,0.2,-2.1,9.1,3.58,1.21,0.716,27.0,8.0,1
2019,MINNESOTA TWINS,162,2320,6392,307,939,906,28,8.20%,20.90%,0.224,0.3,0.27,0.338,0.494,0.347,116,-10.2,123.5,-26.3,31.9,4.18,1.3,0.704,-9.0,-9.0,1
2018,MINNESOTA TWINS,162,2351,6154,166,738,704,47,8.70%,21.60%,0.155,0.298,0.25,0.318,0.405,0.313,96,-3.3,-34.4,-15.1,16.5,4.5,1.38,0.698,-20.0,-23.0,0
2017,MINNESOTA TWINS,162,2324,6261,206,815,781,95,9.50%,21.40%,0.174,0.306,0.26,0.334,0.434,0.329,103,8.4,33.7,41.9,28.1,4.59,1.37,0.694,-1.0,0.0,1
2016,MINNESOTA TWINS,162,2290,6245,200,722,690,91,8.20%,22.80%,0.171,0.3,0.251,0.316,0.421,0.317,95,8.3,-28.0,-35.6,15.1,5.08,1.45,0.686,-32.0,-22.0,0
2015,MINNESOTA TWINS,162,2311,6017,156,696,661,70,7.30%,21.00%,0.152,0.292,0.247,0.305,0.399,0.305,89,-5.5,-80.4,-2.1,12.1,4.07,1.32,0.702,-3.0,1.0,0
2014,MINNESOTA TWINS,162,2292,6233,128,715,675,99,8.70%,21.30%,0.135,0.309,0.254,0.324,0.389,0.316,100,20.9,23.8,-72.6,16.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2013,MINNESOTA TWINS,162,2332,6212,151,614,590,52,8.60%,23.00%,0.138,0.298,0.242,0.312,0.38,0.307,91,1.2,-66.1,-35.4,10.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,MINNESOTA TWINS,162,2271,6209,131,701,666,135,8.10%,17.20%,0.13,0.298,0.26,0.325,0.39,0.313,95,0.7,-32.5,-54.4,12.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,MINNESOTA TWINS,162,2269,6020,103,619,572,92,7.30%,17.40%,0.113,0.288,0.247,0.306,0.36,0.296,82,-6.5,-133.4,-23.9,4.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,MINNESOTA TWINS,162,2290,6257,142,781,749,68,8.90%,15.50%,0.148,0.306,0.273,0.341,0.422,0.335,106,-15.8,29.5,18.3,27.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2009,MINNESOTA TWINS,163,2315,6346,172,817,770,85,9.20%,16.10%,0.155,0.306,0.274,0.345,0.429,0.338,104,15.3,42.9,-39.5,22.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2008,MINNESOTA TWINS,163,2287,6331,111,829,791,102,8.40%,15.50%,0.129,0.316,0.279,0.34,0.408,0.328,99,12.3,4.7,-29.0,19.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,MINNESOTA TWINS,162,2259,6161,118,718,671,112,8.30%,13.60%,0.127,0.291,0.264,0.33,0.391,0.317,91,2.6,-68.7,-0.4,14.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,MINNESOTA TWINS,162,2226,6228,143,801,754,101,7.90%,14.00%,0.138,0.316,0.287,0.347,0.425,0.334,101,-1.4,5.9,13.5,22.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2005,MINNESOTA TWINS,162,2235,6192,134,688,644,102,7.80%,15.80%,0.132,0.291,0.259,0.323,0.391,0.312,89,-14.5,-96.1,18.6,13.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,MINNESOTA TWINS,162,2318,6286,191,780,735,116,8.20%,15.60%,0.166,0.29,0.266,0.332,0.431,0.33,97,5.5,-22.3,-15.6,17.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2003,MINNESOTA TWINS,162,2269,6324,155,801,755,94,8.10%,16.20%,0.154,0.312,0.277,0.341,0.431,0.335,102,1.8,19.8,5.4,24.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2002,MINNESOTA TWINS,161,2289,6196,167,768,731,79,7.60%,17.60%,0.165,0.309,0.272,0.332,0.437,0.334,101,-5.6,1.1,46.0,25.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2001,MINNESOTA TWINS,162,1791,6185,164,771,717,146,8.00%,17.50%,0.161,0.31,0.272,0.337,0.433,0.332,99,-0.2,-5.2,13.0,21.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,MINNESOTA TWINS,162,1972,6283,116,748,711,90,8.80%,16.30%,0.137,0.309,0.27,0.337,0.407,0.327,86,-1.9,-121.7,-64.5,3.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,DETROIT TIGERS,162,2387,6021,162,682,656,76,7.90%,24.30%,0.151,0.288,0.234,0.3,0.385,0.299,95,5.3,-27.2,12.5,19.2,4.42,1.26,0.705,-7.0,64.0,0
2023,DETROIT TIGERS,162,2422,6080,165,661,635,85,8.40%,24.20%,0.146,0.291,0.236,0.305,0.382,0.3,90,2.5,-72.1,-17.8,11.9,4.37,1.27,0.699,-3.0,13.0,0
2022,DETROIT TIGERS,162,2350,5870,110,557,530,47,6.50%,24.10%,0.115,0.29,0.231,0.286,0.346,0.279,81,-5.0,-131.7,-20.9,3.5,4.04,1.27,0.703,11.0,50.0,0
2021,DETROIT TIGERS,162,2341,5979,179,697,675,88,8.20%,25.30%,0.158,0.3,0.242,0.308,0.399,0.306,93,6.9,-46.2,-45.4,11.4,4.32,1.37,0.689,-6.0,-1.0,0
2020,DETROIT TIGERS,58,882,2076,62,249,242,19,7.10%,27.30%,0.152,0.314,0.245,0.303,0.397,0.303,92,-3.4,-24.4,-8.3,5.7,5.63,1.48,0.676,-32.0,-22.0,0
2019,DETROIT TIGERS,161,2316,6039,149,582,556,57,6.50%,26.40%,0.148,0.308,0.24,0.294,0.388,0.29,77,3.0,-171.2,-48.5,-0.1,5.24,1.44,0.683,-59.0,-66.0,0
2018,DETROIT TIGERS,162,2323,6029,135,630,597,70,7.10%,22.20%,0.138,0.293,0.241,0.3,0.38,0.295,83,3.1,-121.9,-44.5,4.0,4.58,1.39,0.691,-14.0,-10.0,0
2017,DETROIT TIGERS,162,2336,6150,187,735,699,65,8.20%,21.30%,0.166,0.306,0.258,0.324,0.424,0.321,98,-9.0,-27.0,-51.5,12.4,5.36,1.49,0.681,-56.0,-61.0,0
2016,DETROIT TIGERS,161,2295,6127,211,750,719,58,8.00%,21.30%,0.171,0.312,0.267,0.331,0.438,0.33,106,-15.6,28.4,-38.6,20.2,4.24,1.32,0.699,-30.0,-39.0,0
2015,DETROIT TIGERS,161,2340,6159,151,689,660,83,7.40%,20.40%,0.15,0.322,0.27,0.328,0.42,0.324,103,-27.6,-8.6,-31.6,17.1,4.64,1.37,0.685,-30.0,-27.0,0
2014,DETROIT TIGERS,162,2330,6202,155,757,731,106,7.10%,18.40%,0.15,0.319,0.277,0.331,0.426,0.331,112,-7.3,73.0,-45.8,24.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2013,DETROIT TIGERS,162,2274,6388,176,796,767,35,8.30%,16.80%,0.151,0.32,0.283,0.346,0.434,0.341,114,-19.0,83.7,-31.9,27.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2012,DETROIT TIGERS,162,2248,6119,163,726,698,59,8.40%,18.00%,0.154,0.307,0.268,0.335,0.422,0.328,105,-17.8,15.4,-27.4,20.4,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2011,DETROIT TIGERS,162,2309,6231,169,787,750,49,8.40%,18.30%,0.157,0.318,0.277,0.34,0.434,0.337,109,-15.2,48.5,-30.3,23.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2010,DETROIT TIGERS,162,2274,6312,152,751,717,69,8.70%,18.20%,0.147,0.311,0.268,0.335,0.415,0.33,102,9.7,23.9,-13.8,23.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,DETROIT TIGERS,163,2350,6234,183,743,718,72,8.70%,17.90%,0.156,0.294,0.26,0.331,0.416,0.328,94,0.4,-48.5,-20.0,15.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,DETROIT TIGERS,162,2267,6331,200,821,780,63,9.00%,17.00%,0.173,0.301,0.271,0.34,0.444,0.343,106,-6.7,42.3,-89.6,17.1,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,DETROIT TIGERS,162,2269,6364,177,887,857,103,7.40%,16.60%,0.171,0.323,0.287,0.345,0.458,0.347,108,8.0,75.1,19.4,30.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,DETROIT TIGERS,162,2214,6198,203,822,785,60,6.90%,18.30%,0.174,0.31,0.274,0.329,0.449,0.334,99,-1.6,-12.2,23.4,21.8,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2005,DETROIT TIGERS,162,2211,6136,168,723,678,66,6.30%,16.90%,0.157,0.304,0.272,0.321,0.428,0.324,99,5.5,-5.1,5.9,20.9,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,DETROIT TIGERS,162,2255,6285,201,827,800,86,8.20%,18.20%,0.177,0.308,0.272,0.337,0.449,0.339,106,3.9,49.5,-41.5,21.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,DETROIT TIGERS,162,2278,6071,153,591,553,98,7.30%,18.10%,0.135,0.272,0.24,0.3,0.375,0.296,80,-6.5,-162.3,-59.2,-1.2,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,DETROIT TIGERS,161,2096,5920,124,575,546,65,6.10%,17.50%,0.132,0.283,0.248,0.3,0.379,0.297,82,-9.4,-143.6,-70.1,-1.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2001,DETROIT TIGERS,162,1841,6145,139,724,691,133,7.60%,15.80%,0.15,0.291,0.26,0.32,0.409,0.316,94,-0.2,-45.2,-52.0,11.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2000,DETROIT TIGERS,162,1938,6343,177,823,785,83,8.90%,15.50%,0.163,0.303,0.275,0.343,0.438,0.341,100,-0.1,-0.3,-15.3,19.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2024,KANSAS CITY ROYALS,162,2409,5982,170,735,711,134,7.20%,19.40%,0.156,0.283,0.248,0.306,0.403,0.307,96,9.0,-21.2,15.9,20.0,5.25,1.42,0.682,-47.0,47.0,0
2023,KANSAS CITY ROYALS,162,2369,5985,163,676,651,163,6.90%,23.30%,0.153,0.296,0.244,0.303,0.398,0.303,86,8.6,-89.9,2.1,11.7,5.2,1.43,0.684,-35.0,-51.0,0
2022,KANSAS CITY ROYALS,162,2372,6010,138,640,613,104,7.70%,21.40%,0.136,0.293,0.244,0.306,0.38,0.302,91,0.8,-59.6,-42.6,9.2,4.7,1.47,0.683,-30.0,-37.0,0
2021,KANSAS CITY ROYALS,162,2368,5993,163,686,647,124,7.00%,21.00%,0.147,0.292,0.249,0.306,0.396,0.304,88,6.8,-85.0,-0.1,12.1,4.65,1.37,0.69,-10.0,-4.0,0
2020,KANSAS CITY ROYALS,60,940,2200,68,248,237,49,7.80%,24.00%,0.158,0.297,0.244,0.309,0.402,0.308,90,-0.1,-26.4,0.9,6.9,4.3,1.33,0.7,12.0,5.0,0
2019,KANSAS CITY ROYALS,162,2269,6080,162,691,655,117,7.50%,23.10%,0.154,0.301,0.247,0.309,0.401,0.302,84,8.6,-115.9,-24.7,7.7,5.2,1.49,0.678,-60.0,-34.0,0
2018,KANSAS CITY ROYALS,162,2184,6063,155,638,606,117,7.00%,21.60%,0.146,0.293,0.245,0.305,0.392,0.303,87,-1.2,-92.7,-32.9,8.4,4.94,1.45,0.687,-14.0,-22.0,0
2017,KANSAS CITY ROYALS,162,2342,6027,193,702,660,91,6.50%,19.30%,0.16,0.295,0.259,0.311,0.42,0.312,91,8.0,-60.1,-9.0,12.9,4.61,1.38,0.699,2.0,-6.0,0
2016,KANSAS CITY ROYALS,162,2244,6052,147,675,640,121,6.30%,20.20%,0.139,0.309,0.261,0.312,0.4,0.307,89,9.2,-70.5,-1.4,13.6,4.21,1.34,0.693,-11.0,8.0,0
2015,KANSAS CITY ROYALS,162,2263,6116,139,724,689,104,6.30%,15.90%,0.144,0.301,0.269,0.322,0.412,0.318,99,-0.3,-8.3,13.8,21.8,3.73,1.29,0.705,31.0,27.0,1
2014,KANSAS CITY ROYALS,162,2273,6058,95,651,604,153,6.30%,16.30%,0.113,0.302,0.263,0.314,0.376,0.306,92,4.8,-47.8,26.6,18.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,1
2013,KANSAS CITY ROYALS,162,2236,6093,112,648,620,153,6.90%,17.20%,0.119,0.3,0.26,0.315,0.379,0.305,89,18.2,-57.4,37.0,19.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2012,KANSAS CITY ROYALS,162,2249,6149,131,676,643,132,6.60%,16.80%,0.135,0.302,0.265,0.317,0.4,0.311,94,-7.4,-50.8,-36.6,12.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2011,KANSAS CITY ROYALS,162,2134,6267,129,730,705,153,7.10%,16.10%,0.14,0.311,0.275,0.329,0.415,0.325,101,0.7,4.5,-25.2,19.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2010,KANSAS CITY ROYALS,162,2190,6209,121,676,640,115,7.60%,14.60%,0.126,0.305,0.274,0.331,0.399,0.323,98,-28.4,-42.1,-84.1,9.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2009,KANSAS CITY ROYALS,162,2247,6103,144,686,657,88,7.50%,17.90%,0.146,0.298,0.259,0.318,0.405,0.318,88,-18.9,-110.3,-77.2,2.6,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2008,KANSAS CITY ROYALS,162,2250,6118,120,691,650,79,6.40%,16.40%,0.128,0.307,0.269,0.32,0.397,0.315,87,-9.5,-109.0,-29.0,7.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2007,KANSAS CITY ROYALS,162,2294,6140,102,706,660,78,7.00%,17.40%,0.126,0.305,0.261,0.322,0.388,0.312,85,-1.6,-121.2,55.1,14.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2006,KANSAS CITY ROYALS,162,2272,6229,124,757,718,65,7.60%,16.70%,0.14,0.311,0.271,0.332,0.411,0.323,92,3.0,-64.6,37.7,18.3,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2005,KANSAS CITY ROYALS,162,2259,6086,126,701,653,53,7.00%,16.60%,0.134,0.298,0.263,0.32,0.396,0.313,87,6.3,-91.5,-87.3,2.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2004,KANSAS CITY ROYALS,162,2169,6153,150,720,675,67,7.50%,17.20%,0.139,0.293,0.259,0.322,0.397,0.314,82,-9.3,-152.8,-47.4,1.0,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2003,KANSAS CITY ROYALS,162,2217,6239,162,836,781,120,7.60%,14.80%,0.153,0.301,0.274,0.336,0.427,0.332,95,7.3,-30.2,-57.8,12.5,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
2002,KANSAS CITY ROYALS,162,2248,6206,140,737,695,140,8.40%,14.80%,0.143,0.282,0.256,0.323,0.398,0.316,85,10.9,-104.1,-39.1,6.7,4.261533,1.317267,0.69817,-3.213333,-2.316667,0
